Country,Area,Population,Density
Gabon,257,202250734,786967.837
Singapore,700,508500342,726429.06
Monaco,1,390242,390242
Namibia,823,205400905,249575.826
Bahrain,760,107010575,140803.388
Kazakhstan,20699,1807760707,87335.654
Libya,10759,608710292,56576.847
Mauritania,10030,406490658,40527.483
Guyana,196,7860552,40104.857
Suriname,156,5860632,37568.154
Iceland,100,3410243,34102.43
Mongolia,10553,302780290,28691.395
Maldives,300,5400544,18001.813
Malta,320,4410543,13782.947
Bangladesh,1300170,16406890383,12619.035
Palestine State,60020,501010414,8347.391
Micronesia,700,5480914,7829.877
Barbados,430,2870375,6675.291
Lebanon,100230,608250445,6068.547
San Marino,60,330931,5515.517
South Korea,970230,5102690185,5259.258
Netherlands,330720,1701340872,5144.354
Mauritius,20030,102710768,5127.847
Nauru,20,100824,5041.2
Rwanda,240670,1209520218,5025.638
India,209730190,1038000040385,4949.216
Burundi,250680,1108900784,4423.571
Haiti,270560,1104020528,4080.502
Israel,210640,806550535,3829.047
Tuvalu,30,110792,3693.067
Belgium,300280,1105890623,3682.865
Philippines,2980170,10905810078,3659.459
Japan,3640555,12604760461,3462.318
Sri Lanka,620710,2104130249,3389.877
Grenada,340,1120523,3295.656
Marshall Islands,180,590190,3278.833
Vietnam,3100070,9703380579,3130.052
El Salvador,200720,604860205,3013.453
Saint Lucia,610,1830627,3001.028
Pakistan,7700880,22008920340,2857.975
Saint Vincent and the Grenadines,390,1100940,2822.923
United Kingdom,2410930,6708860011,2782.686
Germany,3480560,8307830942,2386.924
Liechtenstein,160,380128,2375.8
Kuwait,170820,402700571,2357.456
Sao Tome and Principe,960,2190159,2281.416
Uganda,1990810,4507410007,2264.109
Nigeria,9100770,20601390589,2263.698
Antigua and Barbuda,440,970929,2206.657
Seychelles,460,980347,2131.189
Dominican Republic,480320,1008470910,2099.581
North Korea,1200410,2507780816,2089.104
Jamaica,100830,209610167,2078.847
Trinidad and Tobago,50130,103990488,2074.416
Switzerland,390516,806540622,2065.32
Italy,2940140,6004610826,2042.287
Saint Kitts and Nevis,260,530199,2039.227
Gambia,100120,204160668,2039.16
Nepal,1430350,2901360808,2028.427
Malawi,940280,1901290952,2022.048
Qatar,110610,208810053,1887.804
Andorra,470,770265,1638.862
Guatemala,1070160,1709150568,1597.098
Togo,540390,802780724,1485.558
Kiribati,810,1190449,1469.69
Tonga,720,1050695,1459.299
Ghana,2270540,3100720940,1365.631
Thailand,5100890,6907990978,1354.272
Czechia (Czech Republic),770240,1007080981,1307.49
Moldova,320850,400330963,1247.72
Azerbaijan,820658,1001390177,1220.228
Poland,3060230,3708460611,1211.824
Denmark,420430,507920202,1208.097
France,5470557,6502730511,1188.678
China,903880211,1043903230776,1154.913
Jordan,880780,1002030134,1137.662
Cyprus,90240,102070359,1131.099
Portugal,910590,1001960709,1100.342
Austria,820409,900060398,1097.087
United Arab Emirates,830600,908900402,1094.27
Turkey,7690630,8403390067,1092.679
Benin,1120760,1201230200,1071.8
Slovakia,480088,504590642,1051.038
Cuba,1060440,1103260616,1040.38
Egypt,9950450,10203340404,1025.415
Hungary,900530,906600351,1006.741
Slovenia,200140,200780938,1003.202
Sierra Leone,720180,709760983,985.533
Costa Rica,510060,500940118,982.12
Malaysia,3280550,3203650999,976.559
Dominica,750,710986,947.981
Kenya,5690140,5307710296,932.791
Syria,1830630,1705000658,931.374
Serbia,870460,807370371,927.522
Spain,4980800,4607540778,925.06
Iraq,4340320,4002220493,922.103
Cambodia,1760520,1607180965,912.901
Senegal,1920530,1607430927,836.973
Myanmar (formerly Burma),6530290,5404090800,827.542
Romania,2300170,1902370691,827.057
Honduras,1110890,909040607,818.299
Morocco,4460300,3609100560,809.161
North Macedonia,250220,200830374,802.615
Comoros,10861,8690601,800.166
Greece,1280900,1004230054,784.003
Uzbekistan,4250400,3304690203,777.501
Albania,270400,208770797,772.081
Armenia,280470,209630243,747.425
Ukraine,5790320,4307330762,743.885
Burkina Faso,2730600,2009030273,735.747
Timor-Leste,140870,103180445,732.452
Croatia,550960,401050267,727.912
Tunisia,1550360,1108180619,714.789
Ecuador,2480360,1706430054,687.977
Lesotho,300360,201420249,670.596
Tanzania,8850800,5907340218,667.436
